,0
0,"Damn I wish you were single. 
#Sad"
1,@realDonaldTrump If you were an actor you'd be that sod playing the Prince in Princess Bride...with a lot less hai… https://t.co/qQ1doYDZgf
2,"Why do you always do this to me😞🌺

#model 
#ARMY 
#BTSARMY 
#Sad 
#iHeartAwards️ https://t.co/i6qdTsuRuo"
3,Kinda completes the circle. #sad https://t.co/hu2o2Eg730
4,GOD why does edna never fucking like my tweets back ur not famous 🤬🤬🤬🤬🤬😡😠😡🤬🤬🤬😡😠😡🤬🤬 #Sad #AllAccountsAreEqual
5,Dark #SAD #STEAMPUNK #DRAMAS of the #1940s: https://t.co/MaVehnVYut
6,"@realDonaldTrump Me again. Did you miss me? :)

So #sad when you go off script:

Those who refuse to learn from his… https://t.co/bZCvKChxc8"
7,Captain Bonespurs panicking.... @potus #sad #lame #smallhands #maga #MAGAts https://t.co/m3FD6tGFSI
8,I went to target and took pictures of all the things I wanted to buy but couldn’t afford ~~~~ #sad
9, @DaytimeLove12: Looking at old #Hevon clips on YouTube when they were sneaking around and in love #Sad #YR
10,@bkgut3 @ellenc53 Is there where we met?? This thread is broken up & I'm thinking that if this was the #OG tweet ba… https://t.co/umvEJg4J2I
11,"@realDonaldTrump @SecretService Please note:

#sad

Those who refuse to learn from history are doomed to repeat it.… https://t.co/zXVc2AJqo7"
12,@CREWcrew Of course he will.  After all he doesn’t know how to spell nepotism let alone understand what it is. #SAD
13,@HectorGaribay12 come over I’m #sad
14,#Noteasy going after what you want. Feeling #weird #sad  #embarrassing just down right stupid in all areas
15,@nickcarter I think you’ve forgotten about me it’s 5 months since the last tweet.. 🙁 #sad..
16,@thehill Speaking from experience is she? #sad
17, @r3innn: So sad when u tried to convince ur friend to watch a show u liked but they never gonna watch it. #sad
18," @jihadaeon1: @ThomasWictor @karengeier Apparently TRUMP is the only Guy ""Upping His Game"" since 2016

#Sad. https://t.co/a1hbALC6ZQ"
19," @Peggysue21Adams: 🔥If you know you won't win by the rules guess you change or ignore them like @GovScottWalker ! 
#Sad 
#VoteGOPOut
#Bl…"
20,@Tsabbat @WiGovPR @djBabyRob @DeeJeyCee @otter326 @Utleyjacobite @HariSeldon2100 @JMad414 @catbirdseat00… https://t.co/Sz9FEDU893
21,The moon brings sadness mood but the moon brings dreams to those who lost their way in the dark and make their se… https://t.co/Ezx95BvoEu
22,I’m going to need the Jazz to come thru in the 2nd half or I’ll be very #sad
23,@magumagujin That’s my concept my sadly nobody wants to reply me or notice me #SAD
24,@YouTube Why did you censor my favorite youtuber NELK? Can't take a hilarious joke on your company? #Sad @Google @NelkFilmz
25,@RepLoBiondo Oh QUIT YOUR LYING Frank! You admitted before that you accepted it. Just stop. Your voters in #NJ02 l… https://t.co/Ou2SspJVAQ
26,"Never will be.

#sad #sadness #sadquotes #hurt #alone #lost #broken #brokensoul #heartbroken… https://t.co/VEwkPR9Pzg"
27," @USABookClub: If the #SOTU showed anything ...

It confirmed the Democrats are a party of anti-American hate.

#Sad https://t.co/dY7A01M…"
28,@LifeZette @IngrahamAngle This has already been disproven. #SAD Anything is now fair game when it doesn't fit your… https://t.co/9E5QuIbeFo
29, @Exklucive2: @FAIZONLOVE Well thank you sometimes the people that are real aren't appreciated enough. #sad our society love #imposter…
30,*tip for fangirls* get sims create the person you’re obsessed with then woohoo with them. it’ll feel like the rea… https://t.co/IT10xWZrws
31," @jihadaeon1: @ThomasWictor @karengeier Apparently TRUMP is the only Guy ""Upping His Game"" since 2016

#Sad. https://t.co/a1hbALC6ZQ"
32,@FAIZONLOVE Well thank you sometimes the people that are real aren't appreciated enough. #sad our society love… https://t.co/ByLMAJPY8j
33,"Sad dog is here i think i need to chat someone to be happy or
I should watch videos of nct dreamExo and bts 
I wis… https://t.co/CFnKbTPMZs"
34,@IngrahamAngle Except the bald spot envelops his entire skull. #sad
35,Dear @BandaiNamcoUS  for some reason I am having trouble getting into your Naruto to Boruto Shinobi Striker open be… https://t.co/bV63ZGHUAF
36,“We’ve been winning all our lives” says drumpf. 😂😂😂😂😂 Yeah @realDonaldTrump let us know when the winning starts in… https://t.co/YdPNKv0xab
37,@ChrisStirewalt what is going to happen to all these investigations if the Dems take over the House and/or Senate?… https://t.co/ov9NC6DuNh
38,Growing #SAD as the #OLYMPICS draw to a close...
39,@IngrahamAngle @BreitbartNews Your little mittens orange boy is gping to jail. #sad
40,@kira_lerner Wow Facebook ‼️ #sad
41,@IngrahamAngle @realDonaldTrump It must hurt to hate yourself so much. #sad
42,@realDonaldTrump They do not control any of the branches of government… This one dear leader is on you and your G… https://t.co/WrVH7NpbFT
43,#Sad because it is the #seasonfinale of @RapGameLifetime #TheRapGame @IntuitiveEnt @jermainedupri @IAMQUEENLATIFAH
44,@HippieH8er I've been using this gimmick for years and now some other guy uses it and he's all of a sudden a big story??? #SAD!
45,Have you ever seen such a low quality @POTUS with such low self esteem that he has to demean anyone who doesn't agr… https://t.co/SZBAURCaxP
46,We are so sad that @jamesmaslow got evicted from #CelebrityBigBrother . IMO @MarissaJWinokur should have gone. She… https://t.co/3lonbIosjv
47," @jihadaeon1: @ThomasWictor @karengeier Apparently TRUMP is the only Guy ""Upping His Game"" since 2016

#Sad. https://t.co/a1hbALC6ZQ"
48,@wilsonderek76 @the_americanuck @JanieMommag1963 @WanderingMonk17 @RightW1ngRebel @canadaunited1 Those of us who re… https://t.co/Rr6bm9GusB
49,We miss you Jack. #thisisus #sad #tears 😭😭😭😭😭 https://t.co/32I95WNcaJ
50,@JimGaffigan Most Catholic leaders always go political regarding the unborn but remain silent on issues like this t… https://t.co/Q1r9afSiFI
51,All I can say is sometimes really nebulous emotional issues can be explained with basic pettiness and grimy maneuve… https://t.co/6WA0sfLzNn
52,@inthelineofmel @JimGaffigan Haha what? That Tweet IS a position. As a recovered Catholic kindly see yourself out. #SAD
53, @DavidKerr65: With Rob Porter resigning urine big trouble now @realDonaldTrump!  #Delusional #SAD @realDonaldTrump #OurPresident #MAGA…
54,The world is now fully aware that a bunch of teenagers in Florida are already smarter and wiser than the president. @realDonaldTrump #Sad
55,@haveigotnews @Bonn1eGreer Observe how #European @Nigel_Farage looks in that red dress... i also knew he was wantin… https://t.co/iEuug7Yigg
56,memories of bad times #sad #feels https://t.co/0m4bzMRRhk
57, @DaytimeLove12: Looking at old #Hevon clips on YouTube when they were sneaking around and in love #Sad #YR
58,"@barrysilbert This is the train you have chosen to ride.  Or do you support only the ""real"" ICOs?  #Sad"
59,@sarahchad_ @IngrahamAngle    I guess you are off talented black athletes this week. Time to attack grieving kids.… https://t.co/XsH9FEzAqQ
60,@CNN This is textbook definition of tokenism. Such frailty of human mind. #SAD
61,@marcorubio doesn’t think he can get elected without @NRA money #sad #DumboRubio #banautomaticweapons
62,@CharlieDaniels What A #Sad Day ☹️ https://t.co/vAZBabSFSj
63,#Trump calls a young woman who was shot during the Parkland massacre and the first words out of his mouth was “I h… https://t.co/3mGY8Pbg04
64,Why isn’t there a grocery delivery service that will come to my house right now when I am bored and kind of vaguel… https://t.co/BkvuYrQ3xG
65,I'm mad but im still waiting for your message(s) #Sad
66,That GMJR.  Man.  He introduces me to these guys makes me swoon a little then he gets me all hot and bothered onl… https://t.co/CPvFKoC5cK
67," @Peggysue21Adams: 🔥If you know you won't win by the rules guess you change or ignore them like @GovScottWalker ! 
#Sad 
#VoteGOPOut
#Bl…"
68," @Peggysue21Adams: 🔥If you know you won't win by the rules guess you change or ignore them like @GovScottWalker ! 
#Sad 
#VoteGOPOut
#Bl…"
69,When you get left behind&lt;&lt;&lt;&lt;&lt;&lt;&lt; #sad #teamplayer
70,I'm not sure about what i feel i don't know what is this but i feel the #SAD #ness #sadness
71, @AkashTi53953437: #real thing #true lines #sad lines https://t.co/d9HpKq1rOh
72," @jihadaeon1: @ThomasWictor @karengeier Apparently TRUMP is the only Guy ""Upping His Game"" since 2016

#Sad. https://t.co/a1hbALC6ZQ"
73,dude I bought way too much lingerie and I just remembered that I'm single for two weeks now #sad
74,billions of people in the world  no one will notice if ones gone after too long right . #sad #depressed #account… https://t.co/2pOuyUpgDN
75," @soulbreakup: The saddest thing is when you sacrificed everything for someone who would never appreciate them.

#sacrifice #Sad #Everyth…"
76,@CheriJacobus If progressives are like herpes then Trumpster’s like @IngrahamAngle @realDonaldTrump are the same a… https://t.co/CMODNuVwtF
77,I may have just helped my BFF move to the other side of country.... #sad #goodfriending https://t.co/brIHXff7OK
78,@realDonaldTrump No one gives a flying crap about you or your grown children. You’re the #WorstPresidentEver and an… https://t.co/em8Om9E8wA
79," @jihadaeon1: @ThomasWictor @karengeier Apparently TRUMP is the only Guy ""Upping His Game"" since 2016

#Sad. https://t.co/a1hbALC6ZQ"
80,@NBAOfficial should be fined when they’re incompetent. This #HouvsMinn crew is certainly that. They’ve missed no le… https://t.co/p3xxSaLLjA
81,@AshleyLeBaron @USPhilawsophy @brandongroeny Thank you so much and so muchly Ashley for proving my point about yo… https://t.co/e2PgMENqkq
82,Just when it's #time for the #Omarosa-#hating #Ross to be #evicted next he wins #POV/#Veto.  Guess he'll be gunnin… https://t.co/TfmNER6o6s
83, @TWWNevada: TWO MILLION DOLLARS against @SenCortezMasto.  They spent $2M on Joe Heck in 2016.  #sad
84, @US_Patriot_BN: @FNBOmaha @SkyTalker33 @NRA Wow! The Liberal #Fascist Tactics worked on @FNBOmaha #Sad
85,@realDonaldTrump Ha actually we could. You are just not smart enough to realize it. #sad
86," @hiz_fault: -you knew exactly what you were doing and that’s what hurt the most🌪
——————————————————-
#suicide #sad #depression #suicidal…"
87,Indeed @realDonaldTrump we cannot while you hold office. #Sad https://t.co/ipPzqtwZXW
88,"@TonyaLM824 @thefakehillary1 @DRSPOSBETS @Millenniel_Matt @Twitter I dont doubt that it is from her acct.
She is… https://t.co/akCVpUfXN3"
89, @realitybypamela: I just love @lawrence when he gets on a roll. ❤️ He’s calling out Gen. John Kelly for being used by Trump. #sad end to…
90," @Peggysue21Adams: 🔥If you know you won't win by the rules guess you change or ignore them like @GovScottWalker ! 
#Sad 
#VoteGOPOut
#Bl…"
91,@anneleaderegval @GavinNewsom I'm a Recovering Republican. I used to love CPAC in the formative years AKA before… https://t.co/SHVIGryNJu
92, @Sid837: @madhukishwar @ChangeOrg_India It’s very #sad #BudgetIgnoresMen #CrimeHasNoGender #FridayMotivation #GenderBiasedLaws #GenderNe…
93,Wow @MeghanMcCain This is really bad.  Looks like you made a bad decision marrying this asshole or did you know th… https://t.co/XGq6sdGVHT
94,#SenatorClueless @senrobportman doesn’t realize his tax cuts and deficit spending are ballooning the natl debt by $… https://t.co/tnwoxtUbls
95,@TheCheefReport Now that we know we need to watch carefully! #Sad
96,I’m emotionally distraught. #sad #LetsgoPens #😔
97,"The saddest thing is when you sacrificed everything for someone who would never appreciate them.

#sacrifice #Sad… https://t.co/U8obhMxAXQ"
